company,title,link
㈜칸테크,JAVA / SPRING / PYTHON 개발자 (신입/경력),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53292163&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=7b99d267-19d0-4fda-89a1-72de991ca70f
오아(주),"[오아/코스닥 상장] 서비스 개발(Back-end, python)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53423441&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=7b99d267-19d0-4fda-89a1-72de991ca70f
(주)비트컴퓨터,약국 차세대 시스템 개발을 위한 Python-WebApp 개발자 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53306275&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=7b99d267-19d0-4fda-89a1-72de991ca70f
(주)퀸텟시스템즈,[정규직] AI 개발자 (Python 개발),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53290985&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=7b99d267-19d0-4fda-89a1-72de991ca70f
(주)코레이즈홀딩스,[코레이즈]  Python (Flask) 웹 개발자 채용 (신입),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53347634&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=7b99d267-19d0-4fda-89a1-72de991ca70f
(주)엔큐브,"[Ncube] 신입/경력 모집 [AI개발 - 바이브코딩, Python, Unity]",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52937953&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=7b99d267-19d0-4fda-89a1-72de991ca70f
플러거,마켓빌리 JAVA / DBA / TA / AA / PYTHON Recruitment,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53278768&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=7b99d267-19d0-4fda-89a1-72de991ca70f
예진(주),프론트엔드 개발자 (React / Next.js / Python),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53443532&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=7b99d267-19d0-4fda-89a1-72de991ca70f
(주)마크클라우드,"AI 개발(Python), 데이터분석 및 사업 기획 인턴 모집",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53172234&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=7b99d267-19d0-4fda-89a1-72de991ca70f
엘앤비,[엘앤비] 사무보조 아르바이트 모집 (Python 활용 필수),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53448414&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=7b99d267-19d0-4fda-89a1-72de991ca70f
